Start Date,Subject,Location,Description
2018/4/1,第３９回泉卓球まつり,泉体育館,主催協会：泉区
2018/4/14,平成３０年度仙台市春季卓球リーグ戦（女子の部）,宮城野体育館,主催協会：仙台市
2018/4/22,平成３０年度仙台市春季卓球リーグ戦（男子の部）,宮城野体育館,主催協会：仙台市
2018/4/29,第８回杜の都オープンラージボール卓球大会,仙台市体育館,主催協会：仙台市
2018/5/4,第４８回仙台市中学校対抗卓球大会（団体）,仙台市体育館,主催協会：仙台市
2018/5/12,第１５回若林オープン卓球大会,若林体育館,主催協会：若林区
2018/5/13,第２２回太白区親善卓球大会（ﾗｰｼﾞﾎﾞｰﾙ）,秋保体育館,主催協会：太白区
2018/5/20,第５５回仙台市民総合体育大会卓球大会（団体）,宮城野体育館,主催協会：仙台市
2018/5/26,第２７回泉オープンラージボール卓球大会,青葉体育館,主催協会：泉区
2018/6/3,第１５回若卓ラージボール大会,出花体育館,主催協会：若林区
2018/6/24,第１８回仙台市卓球選手権大会（個人複）,宮城野体育館,主催協会：仙台市
2018/6/30,第３８回泉クラブ（団体）対抗卓球大会　　,泉体育館,主催協会：泉区
2018/7/1,第19回青葉区民総合スポーツ祭・第22回仙台市青葉区卓球大会,宮城広瀬体育館,主催協会：青葉区
2018/7/5,第１８回泉レデイース七夕卓球大会,泉体育館,主催協会：泉区
2018/7/7,第１２回太白区ジュニア卓球大会,仙台市体育館第２,主催協会：太白区
2018/7/8,第１７回太白区ラージボール卓球大会,秋保体育館,主催協会：太白区
2018/7/13,第８回若卓オープンシニア卓球大会,若林体育館,主催協会：若林区
2018/7/16,第１８回仙台市ラージボール卓球大会,若林体育館,主催協会：仙台市
2018/7/29,第１５回宮城野オープン卓球大会（団体）,若林体育館,主催協会：宮城野区
2018/8/11,第２８回仙台市会長杯争奪卓球大会（中学の部）,宮城野体育館,主催協会：仙台市
2018/8/12,第２８回仙台市会長杯争奪卓球大会（一般の部）,宮城野体育館,主催協会：仙台市
2018/8/19,第１３回泉中学生学年別卓球大会,泉体育館,主催協会：泉区
2018/9/8,第２回泉区卓球協会会長杯争奪卓球大会（団体の部）,泉体育館,主催協会：泉区
2018/9/16,第２１回太白区個人ダブルス卓球選手権大会,秋保体育館,主催協会：太白区
2018/9/29,第１７回青葉区ジュニア育成卓球大会,宮城広瀬体育館,主催協会：青葉区
2018/10/13,第１２回杜の都レディース卓球大会,宮城野体育館,主催協会：仙台市
2018/10/13,第７回太白区卓球大会,宮城野体育館障害者アリーナ,主催協会：太白区
2018/11/11,第１８回仙台市区対抗卓球大会,青葉体育館,主催協会：仙台市
2018/11/18,第２３回宮城野オープン卓球大会（ラージボールの部）,若林体育館,主催協会：宮城野区
2018/11/23,第２９回泉スリーダブルス卓球大会,泉体育館,主催協会：泉区
2018/11/24,第１６回青葉区親善卓球大会,宮城広瀬体育館,主催協会：青葉区
2018/11/24,第１１回若卓ジュニア卓球大会,若林体育館,主催協会：若林区
2018/11/25,第６回太白区オープン卓球大会,若林体育館,主催協会：太白区
2018/12/6,第１５回泉レデイース冬季卓球大会,泉体育館,主催協会：泉区
2018/12/16,平成３０年度仙台市秋季リーグ戦（女子の部）,若林体育館,主催協会：仙台市
2018/12/22,第５回泉年代別卓球大会,泉体育館,主催協会：泉区
2018/12/24,平成３０年度仙台市秋季リーグ戦（男子の部）,若林体育館,主催協会：仙台市
2019/1/14,第５回宮城野区卓球協会会長杯争奪卓球大会,宮城野体育館,主催協会：宮城野区
2019/1/19,第２５回仙台市ラージボール卓球大会（個人単・複）,若林体育館,主催協会：仙台市
2019/1/20,第２３回太白区学区対抗卓球大会,仙台市体育館第２,主催協会：太白区
2019/1/26,第１６回若卓ラージボール大会,出花体育館,主催協会：若林区
2019/2/11,第８２回仙台市個人卓球選手権大会,仙台市体育館,主催協会：仙台市
2019/2/17,第２３回宮城野オープン卓球大会（個人戦）,若林体育館,主催協会：宮城野区
2019/2/17,第１４回若林区・太白区親善卓球大会,仙台市体育館,主催協会：若林区
2019/2/23,第１０回泉フレンドシップ卓球大会,宮城野体育館,主催協会：泉区
2019/3/2,第４８回仙台市中学生新人卓球大会（個人単）,若林体育館,主催協会：仙台市
2019/3/10,第４回青葉区卓球協会会長杯争奪卓球大会（団体）,青葉体育館,主催協会：青葉区
2019/3/17,第２５回宮城野親善卓球大会・宮城野区中学校卓球大会,若林体育館,主催協会：宮城野区
2019/3/21,第２７回バタフライダブルスチームカップ選手権大会,若林体育館,主催協会：仙台市
2019/3/31,第２６回泉区卓球協会会長杯争奪卓球大会（個人の部）,若林体育館,主催協会：泉区
