Start Date,Subject,Location,Description
2019/4/7,第４０回泉卓球まつり,泉体育館,主催協会：泉区
2019/4/13,平成３１年度仙台市春季卓球リーグ戦（女子の部）,宮城野体育館,主催協会：仙台市
2019/4/21,平成３１年度仙台市春季卓球リーグ戦（男子の部）,宮城野体育館,主催協会：仙台市
2019/4/29,第９回杜の都オープンラージボール卓球大会,仙台市体育館,主催協会：仙台市
2019/5/3,第４９回仙台市中学校対抗卓球大会（団体）,仙台市体育館,主催協会：仙台市
2019/5/11,第１６回若林オープン卓球大会,若林体育館,主催協会：若林区
2019/5/12,第２３回太白区親善卓球大会,秋保体育館,主催協会：太白区
2019/5/25,第２８回泉オープンラージボール卓球大会,泉体育館,主催協会：泉区
2019/5/26,第５６回仙台市民総合体育大会卓球大会（団体）,仙台市体育館,主催協会：仙台市
2019/6/2,第１７回若卓ラージボール大会,出花体育館,主催協会：若林区
2019/6/23,第１９回仙台市卓球選手権大会（個人複）,仙台市体育館,主催協会：仙台市
2019/7/4,第１９回泉レデイース七夕卓球大会,泉体育館,主催協会：泉区
2019/7/7,第１８回太白区ラージボール卓球大会,秋保体育館,主催協会：太白区
2019/7/14,第20回青葉区民総合スポーツ祭・第23回仙台市青葉区卓球大会,青葉体育館,主催協会：青葉区
2019/7/15,第３９回泉クラブ（団体）対抗卓球大会,泉体育館,主催協会：泉区
2019/7/27,第１３回太白区ジュニア卓球大会,仙台市体育館,主催協会：太白区
2019/7/28,第１９回仙台市ラージボール卓球大会,仙台市体育館,主催協会：仙台市
2019/8/10,第２９回仙台市会長杯争奪卓球大会（中学の部）,宮城野体育館,主催協会：仙台市
2019/8/11,第２９回仙台市会長杯争奪卓球大会（一般の部）,宮城野体育館,主催協会：仙台市
2019/8/12,第２４回宮城野オープン卓球大会（ラージボールの部）,若林体育館,主催協会：宮城野区
2019/8/17,第１４回泉中学生学年別卓球大会,泉体育館,主催協会：泉区
2019/9/7,第８回太白区卓球大会,仙台市体育館,主催協会：太白区
2019/9/15,第２２回太白区個人ダブルス卓球選手権大会,秋保体育館,主催協会：太白区
2019/9/21,第１８回青葉区ジュニア育成卓球大会,青葉体育館,主催協会：青葉区
2019/9/22,第３回泉区卓球協会会長杯争奪卓球大会（団体の部）,泉体育館,主催協会：泉区
2019/10/5,第１３回杜の都レディース卓球大会,宮城野体育館,主催協会：仙台市
2019/10/6,第７回太白区オープン卓球大会,仙台市体育館,主催協会：太白区
2019/10/13,第１９回仙台市区対抗卓球大会,宮体障害者アリーナ,主催協会：仙台市
2019/10/22,第３０回泉スリーダブルス卓球大会,若林体育館,主催協会：泉区
2019/11/17,第１６回宮城野オープン卓球大会（団体）,宮城野体育館,主催協会：宮城野区
2019/12/1,第１２回若卓ジュニア卓球大会      　　　　,宮体障害者アリーナ,主催協会：若林区
2019/12/7,第１７回青葉区親善卓球大会,宮城広瀬体育館,主催協会：青葉区
2019/12/5,第１６回泉レデイース冬季卓球大会,泉体育館,主催協会：泉区
2019/12/14,平成３１年度仙台市秋季リーグ戦（女子の部）,若林体育館,主催協会：仙台市
2019/12/15,平成３１年度仙台市秋季リーグ戦（男子の部）,若林体育館,主催協会：仙台市
2020/1/18,第２６回仙台市ラージボール卓球大会（個人単・複）,若林体育館,主催協会：仙台市
2020/1/19,第６回泉年代別卓球大会,泉体育館,主催協会：泉区
2020/1/19,第２４回太白区学区対抗卓球大会,仙台市体育館第２,主催協会：太白区
2020/1/26,第１８回若卓ラージボール大会,出花体育館,主催協会：若林区
2020/1/26,第２４回宮城野オープン卓球大会（個人戦）,若林体育館,主催協会：宮城野区
2020/2/2,第１４回若林区・太白区親善卓球大会,若林体育館,主催協会：若林区
2020/2/11,第８３回仙台市個人卓球選手権大会,仙台市体育館,主催協会：仙台市
2020/2/16,第６回宮城野区卓球協会会長杯争奪卓球大会,若林体育館,主催協会：宮城野区
2020/2/23,第１１回泉フレンドシップ卓球大会,泉体育館,主催協会：泉区
2020/3/8,第５回青葉区卓球協会会長杯争奪卓球大会,青葉体育館,主催協会：青葉区
2020/3/15,第２６回宮城野親善卓球大会・宮城野区中学校卓球大会,若林体育館,主催協会：宮城野区
2020/3/21,第２７回バタフライダブルスチームカップ選手権大会,若林体育館,主催協会：仙台市
2020/3/29,第４９回仙台市中学生新人卓球大会（個人単）,青葉体育館,主催協会：仙台市
2020/3/29,第２７回泉区卓球協会会長杯争奪卓球大会（個人の部）,泉体育館,主催協会：泉区
